model_id,instrument_id,contract_id,decision_time,signal_available_at,label_start,label_end,label_available_at,signal,forward_return
ES-model,ES,ES-2026-03,2026-01-11T00:00:00Z,2026-01-11T00:00:00Z,2026-01-11T00:00:00Z,2026-01-12T00:00:00Z,2026-01-12T00:00:00Z,10,0.01
ES-model,ES,ES-2026-03,2026-01-12T00:00:00Z,2026-01-12T00:00:00Z,2026-01-12T00:00:00Z,2026-01-13T00:00:00Z,2026-01-13T00:00:00Z,11,0.011
ES-model,ES,ES-2026-03,2026-01-13T00:00:00Z,2026-01-13T00:00:00Z,2026-01-13T00:00:00Z,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,12,0.012
ES-model,ES,ES-2026-03,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z,13,0.013
ES-model,ES,ES-2026-03,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z,2026-01-16T00:00:00Z,2026-01-16T00:00:00Z,14,0.014
ES-model,ES,ES-2026-03,2026-01-16T00:00:00Z,2026-01-16T00:00:00Z,2026-01-16T00:00:00Z,2026-01-17T00:00:00Z,2026-01-17T00:00:00Z,15,0.015
ES-model,ES,ES-2026-03,2026-01-17T00:00:00Z,2026-01-17T00:00:00Z,2026-01-17T00:00:00Z,2026-01-18T00:00:00Z,2026-01-18T00:00:00Z,16,0.016
ES-model,ES,ES-2026-03,2026-01-18T00:00:00Z,2026-01-18T00:00:00Z,2026-01-18T00:00:00Z,2026-01-19T00:00:00Z,2026-01-19T00:00:00Z,17,0.017
ES-model,ES,ES-2026-03,2026-01-19T00:00:00Z,2026-01-19T00:00:00Z,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z,2026-01-20T00:00:00Z,18,0.018
ES-model,ES,ES-2026-03,2026-01-20T00:00:00Z,2026-01-20T00:00:00Z,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z,2026-01-21T00:00:00Z,19,0.019
ES-model,ES,ES-2026-03,2026-01-21T00:00:00Z,2026-01-21T00:00:00Z,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z,-1,-0.001
ES-model,ES,ES-2026-03,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z,2026-01-23T00:00:00Z,2026-01-23T00:00:00Z,5,0.005
ES-model,ES,ES-2026-03,2026-01-23T00:00:00Z,2026-01-23T00:00:00Z,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z,2026-01-24T00:00:00Z,9,0.009
ES-model,ES,ES-2026-03,2026-01-24T00:00:00Z,2026-01-24T00:00:00Z,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z,2026-01-25T00:00:00Z,13,0.013
ES-model,ES,ES-2026-03,2026-01-25T00:00:00Z,2026-01-25T00:00:00Z,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z,2026-01-26T00:00:00Z,25,0.025
ES-model,ES,ES-2026-03,2026-01-26T00:00:00Z,2026-01-26T00:00:00Z,2026-01-26T00:00:00Z,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,1,0.001
ES-model,ES,ES-2026-03,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,2026-01-28T00:00:00Z,5,0.005
ES-model,ES,ES-2026-03,2026-01-28T00:00:00Z,2026-01-28T00:00:00Z,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,9,0.009
ES-model,ES,ES-2026-03,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,13,0.013
ES-model,ES,ES-2026-03,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,17,0.017
ES-model,ES,ES-2026-03,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,1,0.001
ES-model,ES,ES-2026-03,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z,5,0.005
ES-model,ES,ES-2026-03,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z,2026-02-03T00:00:00Z,2026-02-03T00:00:00Z,9,0.009
ES-model,ES,ES-2026-03,2026-02-03T00:00:00Z,2026-02-03T00:00:00Z,2026-02-03T00:00:00Z,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,13,0.013
ES-model,ES,ES-2026-03,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,2026-02-05T00:00:00Z,2026-02-05T00:00:00Z,17,0.017
NQ-model,NQ,NQ-2026-03,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,2026-01-01T00:00:00Z,2026-01-02T00:00:00Z,2026-01-02T00:00:00Z,0,0
NQ-model,NQ,NQ-2026-03,2026-01-02T00:00:00Z,2026-01-02T00:00:00Z,2026-01-02T00:00:00Z,2026-01-03T00:00:00Z,2026-01-03T00:00:00Z,100,-0.001
NQ-model,NQ,NQ-2026-03,2026-01-03T00:00:00Z,2026-01-03T00:00:00Z,2026-01-03T00:00:00Z,2026-01-04T00:00:00Z,2026-01-04T00:00:00Z,200,-0.002
NQ-model,NQ,NQ-2026-03,2026-01-04T00:00:00Z,2026-01-04T00:00:00Z,2026-01-04T00:00:00Z,2026-01-05T00:00:00Z,2026-01-05T00:00:00Z,300,-0.003
NQ-model,NQ,NQ-2026-03,2026-01-05T00:00:00Z,2026-01-05T00:00:00Z,2026-01-05T00:00:00Z,2026-01-06T00:00:00Z,2026-01-06T00:00:00Z,400,-0.004
NQ-model,NQ,NQ-2026-03,2026-01-06T00:00:00Z,2026-01-06T00:00:00Z,2026-01-06T00:00:00Z,2026-01-07T00:00:00Z,2026-01-07T00:00:00Z,500,-0.005
NQ-model,NQ,NQ-2026-03,2026-01-07T00:00:00Z,2026-01-07T00:00:00Z,2026-01-07T00:00:00Z,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,600,-0.006
NQ-model,NQ,NQ-2026-03,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,2026-01-08T00:00:00Z,2026-01-09T00:00:00Z,2026-01-09T00:00:00Z,700,-0.007
NQ-model,NQ,NQ-2026-03,2026-01-09T00:00:00Z,2026-01-09T00:00:00Z,2026-01-09T00:00:00Z,2026-01-10T00:00:00Z,2026-01-10T00:00:00Z,800,-0.008
NQ-model,NQ,NQ-2026-03,2026-01-10T00:00:00Z,2026-01-10T00:00:00Z,2026-01-10T00:00:00Z,2026-01-11T00:00:00Z,2026-01-11T00:00:00Z,900,-0.009
NQ-model,NQ,NQ-2026-03,2026-01-11T00:00:00Z,2026-01-11T00:00:00Z,2026-01-11T00:00:00Z,2026-01-12T00:00:00Z,2026-01-12T00:00:00Z,1000,-0.01
NQ-model,NQ,NQ-2026-03,2026-01-12T00:00:00Z,2026-01-12T00:00:00Z,2026-01-12T00:00:00Z,2026-01-13T00:00:00Z,2026-01-13T00:00:00Z,1100,-0.011
NQ-model,NQ,NQ-2026-03,2026-01-13T00:00:00Z,2026-01-13T00:00:00Z,2026-01-13T00:00:00Z,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,1200,-0.012
NQ-model,NQ,NQ-2026-03,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,2026-01-14T00:00:00Z,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z,1300,-0.013
NQ-model,NQ,NQ-2026-03,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z,2026-01-15T00:00:00Z,2026-01-16T00:00:00Z,2026-01-16T00:00:00Z,1400,-0.014
NQ-model,NQ,NQ-2026-03,2026-01-16T00:00:00Z,2026-01-16T00:00:00Z,2026-01-16T00:00:00Z,2026-01-17T00:00:00Z,2026-01-17T00:00:00Z,1500,-0.015
NQ-model,NQ,NQ-2026-03,2026-01-17T00:00:00Z,2026-01-17T00:00:00Z,2026-01-17T00:00:00Z,2026-01-18T00:00:00Z,2026-01-18T00:00:00Z,1600,-0.016
NQ-model,NQ,NQ-2026-03,2026-01-18T00:00:00Z,2026-01-18T00:00:00Z,2026-01-18T00:00:00Z,2026-01-19T00:00:00Z,2026-01-19T00:00:00Z,1700,-0.017
NQ-model,NQ,NQ-2026-03,2026-01-19T00:00:00Z,2026-01-19T00:00:00Z,2026-01-19T00:00:00Z,2026-01-20T00:00:00Z,2026-01-20T00:00:00Z,1800,-0.018
NQ-model,NQ,NQ-2026-03,2026-01-20T00:00:00Z,2026-01-20T00:00:00Z,2026-01-20T00:00:00Z,2026-01-21T00:00:00Z,2026-01-21T00:00:00Z,1900,-0.019
NQ-model,NQ,NQ-2026-03,2026-01-21T00:00:00Z,2026-01-21T00:00:00Z,2026-01-21T00:00:00Z,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z,-100,0.001
NQ-model,NQ,NQ-2026-03,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z,2026-01-22T00:00:00Z,2026-01-23T00:00:00Z,2026-01-23T00:00:00Z,500,-0.005
NQ-model,NQ,NQ-2026-03,2026-01-23T00:00:00Z,2026-01-23T00:00:00Z,2026-01-23T00:00:00Z,2026-01-24T00:00:00Z,2026-01-24T00:00:00Z,900,-0.009
NQ-model,NQ,NQ-2026-03,2026-01-24T00:00:00Z,2026-01-24T00:00:00Z,2026-01-24T00:00:00Z,2026-01-25T00:00:00Z,2026-01-25T00:00:00Z,1300,-0.013
NQ-model,NQ,NQ-2026-03,2026-01-25T00:00:00Z,2026-01-25T00:00:00Z,2026-01-25T00:00:00Z,2026-01-26T00:00:00Z,2026-01-26T00:00:00Z,2500,-0.025
NQ-model,NQ,NQ-2026-03,2026-01-26T00:00:00Z,2026-01-26T00:00:00Z,2026-01-26T00:00:00Z,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,100,-0.001
NQ-model,NQ,NQ-2026-03,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,2026-01-27T00:00:00Z,2026-01-28T00:00:00Z,2026-01-28T00:00:00Z,500,-0.005
NQ-model,NQ,NQ-2026-03,2026-01-28T00:00:00Z,2026-01-28T00:00:00Z,2026-01-28T00:00:00Z,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,900,-0.009
NQ-model,NQ,NQ-2026-03,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,2026-01-29T00:00:00Z,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,1300,-0.013
NQ-model,NQ,NQ-2026-03,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,2026-01-30T00:00:00Z,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,1700,-0.017
NQ-model,NQ,NQ-2026-03,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,2026-01-31T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,100,-0.001
NQ-model,NQ,NQ-2026-03,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-01T00:00:00Z,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z,500,-0.005
NQ-model,NQ,NQ-2026-03,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z,2026-02-02T00:00:00Z,2026-02-03T00:00:00Z,2026-02-03T00:00:00Z,900,-0.009
NQ-model,NQ,NQ-2026-03,2026-02-03T00:00:00Z,2026-02-03T00:00:00Z,2026-02-03T00:00:00Z,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,1300,-0.013
NQ-model,NQ,NQ-2026-03,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,2026-02-04T00:00:00Z,2026-02-05T00:00:00Z,2026-02-05T00:00:00Z,1700,-0.017
